Community,Weather station,Location,Elevation,January(Avg. high °C (°F)),January(Avg. low °C (°F)),July(Avg. high °C (°F)),July(Avg. low °C (°F)),Annual(Avg. high °C (°F)),Annual(Avg. low °C (°F))
"Alberton, PE[2]",,46°51′00″N 064°01′00″W﻿ / ﻿46.85000°N 64.01667°W,3 m (9.8 ft),−3.9 (25.0),−12.5 (9.5),23.2 (73.8),14.1 (57.4),9.6 (49.3),1.3 (34.3)
"Baker Lake, NU[3]",YBK,64°17′56″N 096°04′40″W﻿ / ﻿64.29889°N 96.07778°W,18.6 m (61 ft),−27.7 (−17.9),−34.8 (−30.6),17.0 (62.6),6.1 (43.0),−7.3 (18.9),−15.2 (4.6)
"Baie-Comeau, QC[4]",YBC,49°08′00″N 068°12′00″W﻿ / ﻿49.13333°N 68.20000°W,22 m (72 ft),−8.7 (16.3),−19.9 (−3.8),20.9 (69.6),10.3 (50.5),6.6 (43.9),−3.3 (26.1)
"Calgary, AB[5]",YYC,51°06′50″N 114°01′13″W﻿ / ﻿51.11389°N 114.02028°W,"1,084 m (3,556 ft)",−0.9 (30.4),−13.2 (8.2),23.2 (73.8),9.8 (49.6),10.8 (51.4),−1.9 (28.6)
"Charlottetown, PE[6]",YYG,46°17′19″N 063°07′43″W﻿ / ﻿46.28861°N 63.12861°W,49 m (161 ft),−3.4 (25.9),−12.1 (10.2),23.3 (73.9),14.1 (57.4),9.9 (49.8),1.3 (34.3)
"Churchill, MB[7]",YYQ,58°44′21″N 094°03′59″W﻿ / ﻿58.73917°N 94.06639°W,29 m (95 ft),−21.9 (−7.4),−30.1 (−22.2),18.0 (64.4),7.3 (45.1),−2.3 (27.9),−10.7 (12.7)
"Corner Brook, NL[8]",,48°57′00″N 057°57′00″W﻿ / ﻿48.95000°N 57.95000°W,5 m (16 ft),−2.7 (27.1),−9.6 (14.7),22.0 (71.6),12.6 (54.7),9.0 (48.2),1.3 (34.3)
"Dawson City, YT[9]",YDA,64°02′35″N 139°07′40″W﻿ / ﻿64.04306°N 139.12778°W,"370 m (1,210 ft)",−21.8 (−7.2),−30.1 (−22.2),23.1 (73.6),8.2 (46.8),2.1 (35.8),−10.3 (13.5)
"Edmonton, AB[10]",YXD,53°34′24″N 113°31′06″W﻿ / ﻿53.57333°N 113.51833°W,"671 m (2,201 ft)",−6.0 (21.2),−14.8 (5.4),23.1 (73.6),12.3 (54.1),9.3 (48.7),−1.0 (30.2)
"Edmundston, NB[11]",,47°20′47″N 068°11′16″W﻿ / ﻿47.34639°N 68.18778°W,163 m (535 ft),−7.1 (19.2),−18.5 (−1.3),24.7 (76.5),11.5 (52.7),9.5 (49.1),−2.3 (27.9)
"Fort Nelson, BC[12]",YYE,58°50′11″N 122°35′50″W﻿ / ﻿58.83639°N 122.59722°W,"382 m (1,253 ft)",−16.1 (3.0),−24.6 (−12.3),23.2 (73.8),10.9 (51.6),5.2 (41.4),−6.0 (21.2)
"Fredericton, NB[13]",YFC,45°52′20″N 066°31′40″W﻿ / ﻿45.87222°N 66.52778°W,21 m (69 ft),−3.8 (25.2),−15.0 (5.0),25.5 (77.9),13.0 (55.4),11.4 (52.5),−0.2 (31.6)
"Halifax, NS[14]",YHZ,44°52′48″N 063°30′00″W﻿ / ﻿44.88000°N 63.50000°W,145 m (476 ft),−1.3 (29.7),−10.4 (13.3),23.8 (74.8),13.7 (56.7),11.3 (52.3),1.9 (35.4)
"High Level, AB[15]",YOJ,58°37′17″N 117°09′53″W﻿ / ﻿58.62139°N 117.16472°W,"338 m (1,109 ft)",−15.0 (5.0),−25.8 (−14.4),23.0 (73.4),9.9 (49.8),5.2 (41.4),−7.2 (19.0)
"Inuvik, NT[16]",YEV,68°18′15″N 133°28′58″W﻿ / ﻿68.30417°N 133.48278°W,68 m (223 ft),−22.8 (−9.0),−31.0 (−23.8),19.5 (67.1),8.6 (47.5),−3.5 (25.7),−12.9 (8.8)
"Iqaluit, NU[17]",YFB,63°45′00″N 068°33′00″W﻿ / ﻿63.75000°N 68.55000°W,34 m (112 ft),−22.8 (−9.0),−30.9 (−23.6),12.3 (54.1),4.1 (39.4),−5.6 (21.9),−13.1 (8.4)
"Kamloops, BC[18]",YKA,50°42′08″N 120°26′31″W﻿ / ﻿50.70222°N 120.44194°W,"345.3 m (1,133 ft)",0.4 (32.7),−5.9 (21.4),28.9 (84.0),14.2 (57.6),14.8 (58.6),3.7 (38.7)
"Kugluktuk, NU[19]",YCO,67°49′00″N 115°08′38″W﻿ / ﻿67.81667°N 115.14389°W,23 m (75 ft),−23.2 (−9.8),−31.4 (−24.5),15.6 (60.1),6.1 (43.0),−6.1 (21.0),−14.4 (6.1)
"La Ronge, SK[20]",YVC,55°09′00″N 105°16′00″W﻿ / ﻿55.15000°N 105.26667°W,"379 m (1,243 ft)",−13.4 (7.9),−24.2 (−11.6),23.5 (74.3),11.5 (52.7),5.9 (42.6),−5.5 (22.1)
